annee;region_mediterraneenne;reste_france
1976;41945;46376
1977;16410;3481
1978;40112;6589
1979;53364;6363
1980;16189;5987
1981;23477;4234
1982;48657;6489
1983;37156;16573
1984;14695;12508
1985;47542;9826
1986;47400;4460
1987;10394;3715
1988;5207;1495
1989;56971;18595
1990;53897;18728
1991;6548;3582
1992;12766;3827
1993;11901;4797
1994;22606;2389
1995;9988;8149
1996;3119;8281
1997;12250;9174
1998;11243;12190
1999;12783;5317
2000;18859;5241
2001;17965;3835
2002;6298;23702
2003;61423;12777
2004;10597;1903
2005;17357;4743
2006;5486;1611
2007;6486;573
2008;3746;1004
2009;11204;3441
2010;6184;3277
2011;4499;5017
2012;4392;3256
2013;1923;1071
2014;4115;875
2015;3112;5142
2016;12140;2242
2017;19692;3484
2018;3066;970
2019;8434;6756
2020;7698;3522
2021;10606;2244
2022;16944;41331
